row_id,waktu,tweet_id,username,tweet,web,lokasi
111,3/23/2021 5:56,1.37E+18,Humas Polres Metro bekasi Kota," himbauan Prokes 5M,  bekasi masker, ( ) pemberlakuan  pembatasan Kegiatan Masyarakat.  Pemantauan  ntra   :  Alfamart,   Indomart,  Spu,   Atm ,   antisipasi 3C. 
Pemantauan oyek VIP  perum MK antisiapasi curas,  curat,  menyampaikan  himbauan kamtimas kepada petugas pamdal. ",https: / / t. co/ eiVJSySqfh,bekasi
112,2/3/2021 11:32,1.37E+18,syush,"salah target, tempat pariwisata dibuka sekolah ditutup maunya apa pemerintah? Ngajak ribut?",,
113,1/8/2021 16:45,1.37E+18,voaindonesia,"menyoal  , sektor pariwisata mengharapkan ada pengawasan penerapan   secara ketat sesuai dengan aturan yang sudah ditetapkan. Dengan demikian, apa yang diharapkan melalui pembatasan itu bisa menemui hasil. Jika tidak serius, dua sektor akan sama-sama menanggung dampak buruk, yaitu sektor kesehatan yang tidak terselesaikan dan sektor   yang justru kian terpuruk",,
114,2/13/2021 17:56,1.37E+18,jadiwarna,  perangi covid tapi tidak perangi kemiskinan warga?,,
115,1/8/2021 16:45,1.37E+18,voaindonesia,"Industri pariwisata Makin Terpuruk Akibat   Jawa-bali. Deddy mberasa sektor pariwisata disudutkan dalam penambahan kasus Covid 19 selama ini. Padahal, khusus di sektor hotel dan restoran verifikasi protokol kesehatan yang dilakukan pemerintah daerah sudah ketat",,
116,2/13/2021 17:56,1.37E+18,jadiwarna,  perangi covid tapi tidak perangi kemiskinan warga?,,
117,5/1/2021 7:17,1.37E+18,Sitompul N,"makin sulit aja keluar kota, padahal bukan mudik bukan apa� pemerintah harus kaji kembali bedakan yang kerja dan jalan jalan",,
118,4/22/2021 16:14,1.37E+18,one,"Makin Sulit Keluar Kota, Nih Bagi yang Bepergian Wajib Punya Dokumen Perjalanan. Masyarakat yang berada di wilayah     dan hendak bepergian wajib memiliki dokumen administratif perjalanan yang dikeluarkan oleh kepala desa atau lurah setempat",,
119,1/11/2021 7:03,1.37E+18,Afif Ardiansyah,"untuk rumah makan, warung makan, restoran, atau kafe bila ditemukan pelanggaran, maka langsung ditutup oleh petugas Satpol PP dengan maksimal waktu tunggu selama 2 jam setelah penertiban",,
120,1/24/2021 15:26,1.37E+18,Awaludin Syah,"kemarin kafe di kawasan Serpong ditindak oleh Satpol PP karena melanggar batas ketentuan batas jam Operasi selama masa  , terbukti tidak berhasilnya   disebabkan oleh oknum tertentu yang bandel dan ngeyel tidak peduli ketentuan yang berlaku",,
121,1/22/2021 9:00,1.37E+18,minews,Kafe berulah kembali dengan buka diatas jam operasional. Sudah diperingatkan sebelumnya oleh pihak kelurahan dan kecamatan hingga dua-tiga kali akhirnya kami lakukan penghentian aktivitas usaha sementara. Kondisi ini dikhawatirkan bisa memperparah penyebaran pandemic Covid-19 karena warga kerap berkumpul di lokasi nongkrong,,
122,2/18/2021 23:30,1.37E+18,Nugroho,Pemberlakuan Pembatasan Kegiatan Masyarakat ( ) di wilayah Jawa dan bali membuat pengunjung pusat perbelanjaan menurun,,
123,2/11/2021 11:15,1.37E+18,Komite Harian,"Terpukul dan Menjerit,  Pengusaha Mal hingga Hotel Minta   Dihentikan",,
124,2/11/2021 0:59,1.37E+18,Apindo Hariyadi Sukamdani,"  ini benar- benar memukul sektor usaha�mal,  hotel dan restoran",,
125,2/11/2021 12:21,1.37E+18,Apindo Hariyadi Sukamdani,Kami berharap kebijakan ini tidak diperpanjang lagi,,
126,2/11/2021 16:44,1.37E+18,Humas Polres Metro bekasi Kota,"Ellen berharap,  pemerintah melakukan kajian yang lebih tepat dalam menetapkan klaster Covid- 19",,
127,2/11/2021 18:27,1.37E+18,otong,Percuma. . . hanya buat keadaan makin susah,,
